"","V1","V2"
"1","0","2019-05-05"
"2","1","2019-05-16"
"3","2","2019-05-30"
"4","3","2019-06-13"
"5","4","2019-06-27"
"6","5","2019-07-11"
"7","6","2019-07-25"
"8","7","2019-08-08"
"9","8","2019-08-22"
"10","9","2019-09-05"
"11","10","2019-09-19"
"12","11","2019-10-03"
"13","12","2019-10-17"
"14","13","2019-10-31"
"15","14","2019-11-14"
"16","15","2019-11-28"
"17","16","2019-12-12"
"18","17","2019-12-26"
"19","18","2020-01-09"
"20","19","2020-01-23"
"21","20","2020-02-06"
"22","21","2020-02-20"
"23","22","2020-03-05"
"24","23","2020-03-19"
"25","24","2020-04-02"
"26","25","2020-04-16"
"27","26","2020-04-30"
"28","27","2020-05-14"
"29","28","2020-05-28"
"30","29","2020-06-11"
"31","30","2020-06-25"
"32","31","2020-07-09"
"33","32","2020-07-23"
"34","33","2020-08-06"
"35","34","2020-08-20"
"36","35","2020-09-03"
"37","36","2020-09-17"
"38","37","2020-10-01"
"39","38","2020-10-15"
"40","39","2020-10-29"
"41","40","2020-11-12"
"42","41","2020-11-26"
"43","42","2020-12-10"
"44","43","2020-12-24"
