"","slice","slice.start"
"1","-5","2019-02-23"
"2","-4","2019-03-07"
"3","-3","2019-03-21"
"4","-2","2019-04-04"
"5","-1","2019-04-18"
"6","0","2019-05-02"
"7","1","2019-05-16"
"8","2","2019-05-30"
"9","3","2019-06-13"
"10","4","2019-06-27"
"11","5","2019-07-11"
"12","6","2019-07-25"
"13","7","2019-08-08"
"14","8","2019-08-22"
"15","9","2019-09-05"
"16","10","2019-09-19"
"17","11","2019-10-03"
"18","12","2019-10-17"
"19","13","2019-10-31"
"20","14","2019-11-14"
"21","15","2019-11-28"
"22","16","2019-12-12"
"23","17","2019-12-26"
"24","18","2020-01-09"
"25","19","2020-01-23"
"26","20","2020-02-06"
"27","21","2020-02-20"
"28","22","2020-03-05"
"29","23","2020-03-19"
"30","24","2020-04-02"
"31","25","2020-04-16"
"32","26","2020-04-30"
"33","27","2020-05-14"
"34","28","2020-05-28"
"35","29","2020-06-11"
"36","30","2020-06-25"
"37","31","2020-07-09"
"38","32","2020-07-23"
"39","33","2020-08-06"
"40","34","2020-08-20"
"41","35","2020-09-03"
"42","36","2020-09-17"
"43","37","2020-10-01"
"44","38","2020-10-15"
"45","39","2020-10-29"
"46","40","2020-11-12"
"47","41","2020-11-26"
"48","42","2020-12-10"
"49","43","2020-12-24"
